Op Batch No,Actual Product,Order Tdc,Segment,Prop Ip Wt,O/P Wt,Total Length,Area,Zinc,Process Duration(in min),CRFH thickness(mm),GP thickness(mm),Total Zn/AlZn Coating,Op Width,Speed(mpm),Productivity(TPH)
2446XM2000,GI,ZST935,Retail,8.638,8.88,1174.673,1131.21,0.325,10.0,0.001,0.0412,287.0,963,117.467,53.28
2446XN1000,GI,ZST935,Retail,9.075,9.376,1367.4,1316.81,0.378,13.0,0.001,0.0412,286.701,963,105.185,43.274
2446XN2000,GI,ZST935,Retail,7.925,8.188,1194.1,1149.92,0.327,11.0,0.001,0.0408,284.505,963,108.555,44.662
2446XW1000,GI,ZST935,Retail,9.106,9.371,1229.2,1183.72,0.339,10.0,0.001,0.0411,285.984,963,122.92,56.226
2446XW2000,GI,ZST935,Retail,8.024,8.258,1083.3,1043.22,0.299,9.0,0.001,0.0412,287.0,963,120.367,55.053
2446XY1000,GI,ZST935,Retail,8.779,9.058,1322.2,1273.28,0.36,11.0,0.001,0.0406,282.712,963,120.2,49.407
2446XY2000,GI,ZST935,Retail,8.001,8.255,1204.3,1159.74,0.33,10.0,0.001,0.0408,284.514,963,120.43,49.53
2446YA1000,GI,ZST935,Retail,9.131,9.377,1231.1,1185.55,0.332,10.0,0.001,0.0403,280.458,963,123.11,56.262
2446YA2000,GI,ZST935,Retail,8.039,8.256,1084.5,1044.37,0.29,9.0,0.001,0.04,278.112,963,120.5,55.04
2446YB1000,GI,ZST935,Retail,9.071,9.366,1367.1,1316.52,0.374,12.0,0.001,0.0408,284.334,963,113.925,46.83
2446YB2000,GI,ZST935,Retail,8.029,8.29,1209.8,1165.04,0.32,15.0,0.001,0.0395,274.66,963,80.653,33.16
2446YG1000,GI,ZPK001,Other,7.676,7.69,1300.0,1553.5,0.137,19.0,0.001,0.0133,88.0,1195,68.421,24.284
2446YG2000,GI,ZPK001,Other,7.666,7.68,1300.0,1553.5,0.137,4.0,0.001,0.0133,88.0,1195,325.0,115.2
2446YG3000,GI,ZPK001,Other,6.328,6.34,1124.538,1343.82,0.118,7.0,0.001,0.0133,88.0,1195,160.648,54.343
2446YL0000,GI,ZTU110,P&T,21.89,21.977,1893.3,2366.62,0.289,25.0,0.001,0.0181,122.011,1250,75.732,52.745
2446ZC1000,GI,ZST935,Retail,9.672,9.955,1250.0,1203.75,0.345,7.0,0.001,0.0412,287.0,963,178.571,85.329
2446ZC2000,GI,ZST935,Retail,7.548,7.768,1027.574,989.55,0.284,16.0,0.001,0.0412,287.0,963,64.223,29.13
2446ZD1000,GI,ZPL130,Panel,12.055,12.173,1257.8,1597.41,0.209,15.0,0.001,0.0193,130.831,1270,83.853,48.692
2446ZD2000,GI,ZPL130,Panel,10.265,10.365,1072.8,1362.46,0.196,13.0,0.001,0.0212,144.0,1270,82.523,47.838
2446ZM1000,GI,ZPL130,Panel,12.34,12.482,1481.1,1854.34,0.237,13.0,0.001,0.0189,127.667,1252,113.931,57.609
2446ZM2000,GI,ZPL130,Panel,10.31,10.428,1235.7,1547.1,0.198,11.0,0.001,0.0189,127.982,1252,112.336,56.88
2446ZP1000,GI,ZST935,Retail,9.079,9.371,1320.0,1271.16,0.365,14.0,0.001,0.0412,287.0,963,94.286,40.161
2446ZP2000,GI,ZST935,Retail,8.201,8.464,1220.0,1174.86,0.337,12.0,0.001,0.0412,287.0,963,101.667,42.32
2446ZR1000,GI,ZST935,Retail,8.483,7.988,1174.085,1130.64,0.324,14.0,0.001,0.0412,287.0,963,83.863,34.234
2446ZR2000,GI,ZST935,Retail,8.847,8.33,1224.353,1179.05,0.338,13.0,0.001,0.0412,287.0,963,94.181,38.446
2446ZS1000,GI,ZST935,Retail,9.059,9.364,1364.9,1314.4,0.373,11.0,0.001,0.0408,283.854,963,124.082,51.076
2446ZS2000,GI,ZST935,Retail,8.111,8.385,1221.4,1176.21,0.333,10.0,0.001,0.0407,283.139,963,122.14,50.31
24470C1000,GI,ZST935,Retail,9.685,9.956,1250.0,1203.75,0.345,7.0,0.001,0.0412,287.0,963,178.571,85.337
24470C2000,GI,ZST935,Retail,7.365,7.571,1001.515,964.46,0.277,16.0,0.001,0.0412,287.0,963,62.595,28.391
24470D1000,GI,ZST935,Retail,6.899,7.087,929.0,894.63,0.271,8.0,0.001,0.0435,303.098,963,116.125,53.152
24470D2000,GI,ZST935,Retail,6.781,6.965,913.2,879.41,0.253,8.0,0.001,0.0414,288.117,963,114.15,52.238
24470F1000,GI,ZST935,Retail,9.485,9.065,1187.0,1143.08,0.347,10.0,0.001,0.0435,303.479,963,118.7,54.39
24470F2000,GI,ZST935,Retail,7.665,7.325,960.4,924.87,0.28,8.0,0.001,0.0435,303.1,963,120.05,54.938
24470Y1000,GI,ZPL130,Panel,12.407,12.564,1552.2,1971.29,0.25,16.0,0.001,0.0188,126.991,1270,97.012,47.115
24470Y2000,GI,ZPL130,Panel,10.263,10.392,1287.2,1634.74,0.208,13.0,0.001,0.0188,127.305,1270,99.015,47.963
24471C1000,GI,ZPL130,Panel,12.339,12.497,1453.0,1819.16,0.233,16.0,0.001,0.0189,128.0,1252,90.812,46.864
24471C2000,GI,ZPL130,Panel,10.371,10.503,1222.0,1529.94,0.196,13.0,0.001,0.0189,128.0,1252,94.0,48.475
24471D1000,GI,ZST935,Retail,9.061,9.367,1367.2,1316.61,0.366,12.0,0.001,0.04,278.172,963,113.933,46.835
24471D2000,GI,ZST935,Retail,8.209,8.487,1238.4,1192.58,0.334,10.0,0.001,0.0402,280.166,963,123.84,50.922
24471F1000,GI,ZPL130,Panel,11.849,11.903,984.4,1250.19,0.173,10.0,0.001,0.0204,138.357,1270,98.44,71.418
24471F2000,GI,ZPL130,Panel,10.771,10.82,898.8,1141.48,0.144,9.0,0.001,0.0187,126.3,1270,99.867,72.133
24471U0000,GI,ZTU110,P&T,21.67,21.756,1601.2,2001.5,0.699,20.0,0.001,0.0499,349.208,1250,80.06,65.268
24471V1000,GI,ZST935,Retail,9.68,9.958,1250.0,1203.75,0.345,7.0,0.001,0.0412,287.0,963,178.571,85.354
24471V2000,GI,ZST935,Retail,7.57,7.787,1030.088,991.97,0.285,16.0,0.001,0.0412,287.0,963,64.38,29.201
24500D0000,GI,ZST935,Retail,19.3,19.808,1755.2,2176.45,0.803,19.0,0.001,0.0527,368.883,1240,92.379,62.552
24500K1000,GI,ZPL130,Panel,11.843,11.921,1163.0,1477.01,0.189,15.0,0.001,0.0189,128.0,1270,77.533,47.684
24500K2000,GI,ZPL130,Panel,10.767,10.837,1055.0,1339.85,0.172,13.0,0.001,0.0189,128.0,1270,81.154,50.017
24500L1000,GI,ZST935,Retail,8.818,9.086,1200.0,1155.6,0.332,12.0,0.001,0.0412,287.0,963,100.0,45.43
24500L2000,GI,ZST935,Retail,8.492,8.751,1102.0,1061.23,0.305,12.0,0.001,0.0412,287.0,963,91.833,43.755
24500M0000,GI,ZPL925,Panel,21.99,22.15,1105.0,1381.25,0.38,20.0,0.002,0.0405,275.0,1250,55.25,66.45
24500N1000,GI,ZST935,Retail,9.695,9.969,1250.0,1203.75,0.345,7.0,0.001,0.0412,287.0,963,178.571,85.449
24500N2000,GI,ZST935,Retail,7.475,7.687,1016.859,979.24,0.281,16.0,0.001,0.0412,287.0,963,63.554,28.826
24500Q1000,GI,ZST935,Retail,9.67,9.948,1250.0,1203.75,0.345,7.0,0.001,0.0412,287.0,963,178.571,85.269
24500Q2000,GI,ZST935,Retail,7.44,7.654,1012.494,975.03,0.28,16.0,0.001,0.0412,287.0,963,63.281,28.702
24500S1000,GI,ZPL110,Panel,10.975,11.086,710.0,901.7,0.259,11.0,0.002,0.0422,287.0,1270,64.545,60.469
24500S2000,GI,ZPL110,Panel,11.325,11.44,763.797,970.02,0.278,13.0,0.001,0.0412,287.0,1270,58.754,52.8
24500U1000,GI,ZST925,Retail,11.841,11.969,1250.0,1562.5,0.2,11.0,0.001,0.0189,128.0,1250,113.636,65.285
24500U2000,GI,ZST925,Retail,10.069,10.177,1000.0,1250.0,0.16,12.0,0.001,0.0189,128.0,1250,83.333,50.885
24500V1000,GI,ZST935,Retail,9.099,9.378,1366.0,1315.46,0.364,12.0,0.001,0.0398,277.081,963,113.833,46.89
24500V2000,GI,ZST935,Retail,8.151,8.4,1223.9,1178.62,0.327,10.0,0.001,0.0398,277.064,963,122.39,50.4
24500W1000,GI,ZTU110,P&T,11.32,10.756,912.002,1140.0,0.1,8.0,0.001,0.0133,88.0,1250,114.0,80.67
24500X1000,GI,ZST935,Retail,9.69,9.965,1200.0,1155.6,0.277,7.0,0.001,0.0346,240.0,963,171.429,85.414
24500X2000,GI,ZST935,Retail,7.39,7.599,1005.219,968.03,0.232,53.0,0.001,0.0346,240.0,963,18.966,8.603
24501C1000,GI,ZPL130,Panel,13.719,13.848,1440.0,1828.8,0.238,14.0,0.001,0.0192,130.156,1270,102.857,59.349
24501C2000,GI,ZPL130,Panel,8.341,8.42,899.9,1142.87,0.165,9.0,0.001,0.0212,144.0,1270,99.989,56.133
24501F1000,GI,ZPL130,Panel,11.551,11.877,986.7,1253.11,0.378,10.0,0.001,0.0433,301.669,1270,98.67,71.262
24501F2000,GI,ZPL130,Panel,10.979,11.289,938.4,1191.77,0.35,12.0,0.001,0.0422,294.0,1270,78.2,56.445
24501G1000,GI,ZPL130,Panel,12.309,12.463,1479.8,1852.71,0.234,14.0,0.001,0.0187,126.25,1252,105.7,53.413
24501G2000,GI,ZPL130,Panel,10.331,10.46,1239.4,1551.73,0.182,11.0,0.001,0.0174,117.402,1252,112.673,57.055
24501H1000,GI,ZPL110,Panel,11.233,11.379,755.0,958.85,0.282,9.0,0.001,0.0422,294.491,1270,83.889,75.86
24501H2000,GI,ZPL110,Panel,10.967,11.11,738.3,937.64,0.271,9.0,0.001,0.0414,288.537,1270,82.033,74.067
24501J1000,GI,ZTU110,P&T,14.429,13.056,1328.422,1660.53,0.146,22.0,0.001,0.0133,88.0,1250,60.383,35.607
24501J2000,GI,ZTU110,P&T,7.901,7.149,727.397,909.25,0.08,9.0,0.001,0.0133,88.0,1250,80.822,47.66
24501K1000,GI,ZPL110,Panel,10.291,10.392,689.6,875.79,0.255,8.0,0.001,0.0417,290.858,1270,86.2,77.94
24501K2000,GI,ZPL110,Panel,10.569,10.672,708.4,899.67,0.264,8.0,0.001,0.0421,293.22,1270,88.55,80.04
24501M1000,GI,ZPL130,Panel,12.488,12.512,1475.0,1846.7,0.236,16.0,0.001,0.0189,128.0,1252,92.188,46.92
24501M2000,GI,ZPL130,Panel,10.202,10.222,1201.0,1503.65,0.192,14.0,0.001,0.0189,128.0,1252,85.786,43.809
24501N1000,GI,ZST935,Retail,8.822,9.081,1188.8,1144.81,0.349,10.0,0.001,0.0436,304.451,963,118.88,54.486
24501N2000,GI,ZST935,Retail,8.468,8.717,1141.6,1099.36,0.334,9.0,0.001,0.0436,304.0,963,126.844,58.113
24501Q1000,GI,ZPL120,Panel,7.936,8.038,991.6,1259.33,0.159,10.0,0.001,0.0187,126.432,1270,99.16,48.228
24501Q2000,GI,ZPL120,Panel,7.936,8.038,993.0,1261.11,0.16,9.0,0.001,0.0188,126.959,1270,110.333,53.587
24501Q3000,GI,ZPL120,Panel,6.808,6.896,854.9,1085.72,0.14,8.0,0.001,0.019,128.544,1270,106.862,51.72
24501R1000,GI,ZST935,Retail,9.092,9.376,1300.0,1251.9,0.359,13.0,0.001,0.0412,287.0,963,100.0,43.274
24501R2000,GI,ZST935,Retail,8.108,8.362,1229.056,1183.58,0.34,11.0,0.001,0.0412,287.0,963,111.732,45.611
24501S1000,GI,ZST935,Retail,6.528,6.702,877.5,845.03,0.261,7.0,0.001,0.0443,309.062,963,125.357,57.446
24501S2000,GI,ZST935,Retail,7.192,7.383,966.4,930.64,0.287,8.0,0.001,0.0442,308.303,963,120.8,55.372
24501T1000,GI,ZST935,Retail,10.219,10.531,1300.0,1251.9,0.359,10.0,0.001,0.0412,287.0,963,130.0,63.186
24501T2000,GI,ZST935,Retail,6.981,7.194,940.0,905.22,0.26,10.0,0.001,0.0412,287.0,963,94.0,43.164
24501U1000,GI,ZPL130,Panel,11.752,11.843,1186.055,1506.29,0.193,15.0,0.001,0.0189,128.0,1270,79.07,47.372
24501U2000,GI,ZPL130,Panel,10.808,10.892,1090.814,1385.33,0.177,14.0,0.001,0.0189,128.0,1270,77.915,46.68
24501V1000,GI,ZST935,Retail,5.911,6.107,800.0,770.4,0.221,8.0,0.001,0.0412,287.0,963,100.0,45.802
24501V2000,GI,ZST935,Retail,7.671,8.058,1000.0,963.0,0.276,12.0,0.001,0.0412,287.0,963,83.333,40.29
24501W1000,GI,ZPL130,Panel,11.855,11.97,1300.0,1627.6,0.208,14.0,0.001,0.0189,128.0,1252,92.857,51.3
24501W2000,GI,ZPL130,Panel,10.815,10.92,1305.078,1633.96,0.209,5.0,0.001,0.0189,128.0,1252,261.016,131.04
24501X0000,GI,ZTU110,P&T,21.9,21.878,1590.031,1987.54,0.159,22.0,0.001,0.0122,80.0,1250,72.274,59.667
24501Y1000,GI,ZST935,Retail,9.072,9.368,1367.4,1316.81,0.375,11.0,0.001,0.0409,284.956,963,124.309,51.098
24501Y2000,GI,ZST935,Retail,8.018,8.28,1208.0,1163.3,0.331,10.0,0.001,0.0408,284.121,963,120.8,49.68
24501Z1000,GI,ZTU110,P&T,10.48,10.48,888.599,1110.75,0.098,14.0,0.001,0.0133,88.0,1250,63.471,44.914
24501Z2000,GI,ZTU110,P&T,11.15,11.15,945.409,1181.76,0.104,12.0,0.001,0.0133,88.0,1250,78.784,55.75
24502A0000,GI,ZPL925,Panel,21.73,21.63,1564.0,1939.36,0.244,22.0,0.001,0.0186,126.004,1240,71.091,58.991
24502B1000,GI,ZST935,Retail,9.076,9.375,1350.0,1300.05,0.373,26.0,0.001,0.0412,287.0,963,51.923,21.635
24502B2000,GI,ZST935,Retail,8.114,8.382,1231.996,1186.41,0.34,12.0,0.001,0.0412,287.0,963,102.666,41.91
24502H1000,GI,ZPL130,Panel,11.845,11.85,1186.756,1507.18,0.193,14.0,0.001,0.0189,128.0,1270,84.768,50.786
24502H2000,GI,ZPL130,Panel,10.725,10.73,1074.59,1364.73,0.175,5.0,0.001,0.0189,128.0,1270,214.918,128.76
24502J1000,GI,ZST925,Retail,11.859,11.95,1200.0,1500.0,0.192,14.0,0.001,0.0189,128.0,1250,85.714,51.214
24502J2000,GI,ZST925,Retail,10.261,10.34,1060.0,1325.0,0.17,5.0,0.001,0.0189,128.0,1250,212.0,124.08
24502L1000,GI,ZEX110,export,11.956,11.925,600.0,750.0,0.096,11.0,0.002,0.0199,128.0,1250,54.545,65.045
24502L2000,GI,ZEX110,export,10.204,10.178,505.0,631.25,0.081,12.0,0.002,0.0199,128.0,1250,42.083,50.89
24502M0000,GI,ZTU110,P&T,22.57,22.478,1270.607,1588.26,0.127,21.0,0.002,0.0132,80.0,1250,60.505,64.223
24502X1000,GI,ZST934,Retail,12.743,12.872,850.9,1109.57,0.338,12.0,0.001,0.0436,304.322,1304,70.908,64.36
24502X2000,GI,ZST934,Retail,11.977,12.098,801.0,1044.5,0.317,12.0,0.001,0.0435,303.503,1304,66.75,60.49
24503D1000,GI,ZST935,Retail,9.091,9.377,1227.7,1182.28,0.364,10.0,0.001,0.0441,307.673,963,122.77,56.262
24503D2000,GI,ZST935,Retail,8.189,8.447,1105.9,1064.98,0.329,9.0,0.001,0.0442,308.504,963,122.878,56.313
24503F1000,GI,ZST935,Retail,5.993,6.104,807.455,777.58,0.223,6.0,0.001,0.0412,287.0,963,134.576,61.04
24503F2000,GI,ZST935,Retail,7.807,7.952,1051.914,1012.99,0.291,10.0,0.001,0.0412,287.0,963,105.191,47.712
24503G1000,GI,ZST935,Retail,10.238,10.549,1300.0,1251.9,0.359,15.0,0.001,0.0412,287.0,963,86.667,42.196
24503G2000,GI,ZST935,Retail,7.022,7.236,940.0,905.22,0.26,10.0,0.001,0.0412,287.0,963,94.0,43.416
24503N1000,GI,ZPL925,Panel,6.238,6.299,767.9,1013.63,0.141,8.0,0.001,0.0205,138.892,1320,95.988,47.242
24503N2000,GI,ZPL925,Panel,2.759,2.786,337.6,445.63,0.061,3.0,0.001,0.0202,137.052,1320,112.533,55.72
24503N3000,GI,ZPL925,Panel,7.911,7.988,972.3,1283.44,0.163,10.0,0.001,0.0187,126.647,1320,97.23,47.928
24503N4000,GI,ZPL925,Panel,7.261,7.332,892.7,1178.36,0.15,8.0,0.001,0.0188,127.3,1320,111.588,54.99
24503R1000,GI,ZST934,Retail,12.714,12.882,853.5,1112.96,0.358,13.0,0.001,0.0461,321.807,1304,65.654,59.455
24503R2000,GI,ZST934,Retail,10.786,10.928,723.2,943.05,0.271,9.0,0.001,0.0413,287.5,1304,80.356,72.853
24504J1000,GI,ZPL130,Panel,11.463,11.942,1500.0,1830.0,0.525,16.0,0.001,0.0412,287.0,1220,93.75,44.782
24504J2000,GI,ZPL130,Panel,10.697,11.143,1400.0,1708.0,0.49,15.0,0.001,0.0412,287.0,1220,93.333,44.572
24504K1000,GI,ZPL925,Panel,12.914,12.898,865.7,1099.44,0.111,11.0,0.001,0.0151,100.842,1270,78.7,70.353
24504K2000,GI,ZPL925,Panel,11.216,11.203,747.1,948.82,0.1,9.0,0.002,0.0168,105.392,1270,83.011,74.687
24504S1000,GI,ZST935,Retail,9.115,9.375,1200.0,1155.6,0.332,12.0,0.001,0.0412,287.0,963,100.0,46.875
24504S2000,GI,ZST935,Retail,8.145,8.377,1080.0,1040.04,0.298,8.0,0.001,0.0412,287.0,963,135.0,62.828
24504U1000,GI,ZST935,Retail,9.116,9.375,1200.0,1155.6,0.332,13.0,0.001,0.0412,287.0,963,92.308,43.269
24504U2000,GI,ZST935,Retail,8.104,8.334,1100.0,1059.3,0.304,11.0,0.001,0.0412,287.0,963,100.0,45.458
24505G0000,GI,ZST935,Retail,23.48,24.216,2142.0,2656.08,0.93,25.0,0.001,0.05,350.0,1240,85.68,58.118
24505K0000,GI,ZST935,Retail,22.15,22.903,2031.7,2519.31,0.984,23.0,0.001,0.0557,390.463,1240,88.335,59.747
24505M0000,GI,ZST935,Retail,23.48,24.215,2150.5,2666.62,1.03,24.0,0.001,0.0551,386.102,1240,89.604,60.538
24505R0000,GI,ZST935,Retail,23.41,24.189,2147.4,2662.78,1.028,24.0,0.001,0.0551,386.184,1240,89.475,60.473
24505Y0000,GI,ZST935,Retail,23.25,24.024,2141.3,2655.21,1.026,24.0,0.001,0.0551,386.519,1240,89.221,60.06
24506F1000,GI,ZST935,Retail,10.719,11.038,983.7,1219.79,0.471,9.0,0.001,0.055,385.895,1240,109.3,73.587
24506F2000,GI,ZST935,Retail,11.581,11.926,1063.0,1318.12,0.554,11.0,0.001,0.0598,420.0,1240,96.636,65.051
24506L0000,GI,ZST935,Retail,23.38,24.169,2154.9,2672.08,1.026,24.0,0.001,0.0548,383.933,1240,89.788,60.422
24506T0000,GI,ZST935,Retail,23.23,23.943,2119.0,2627.56,0.92,25.0,0.001,0.05,350.0,1240,84.76,57.463
24506U0000,GI,ZST935,Retail,23.26,24.003,2137.3,2650.25,1.017,24.0,0.001,0.0547,383.574,1240,89.054,60.007
24507D1000,GI,ZEX110,export,11.945,11.929,600.0,750.0,0.096,20.0,0.002,0.0199,128.0,1250,30.0,35.787
24507D2000,GI,ZEX110,export,10.415,10.401,516.0,645.0,0.083,13.0,0.002,0.0199,128.0,1250,39.692,48.005
24507F1000,GI,ZST935,Retail,6.89,7.093,900.0,866.7,0.249,10.0,0.001,0.0412,287.0,963,90.0,42.558
24507F2000,GI,ZST935,Retail,6.8,7.0,925.981,891.72,0.256,10.0,0.001,0.0412,287.0,963,92.598,42.0
24507G1000,GI,ZEX110,export,11.845,11.859,1186.8,1483.5,0.162,14.0,0.001,0.0163,109.2,1250,84.771,50.824
24507G2000,GI,ZEX110,export,10.635,10.647,1065.0,1331.25,0.16,11.0,0.001,0.0178,120.0,1250,96.818,58.075
24507K0000,GI,ZST935,Retail,23.35,24.096,2149.9,2665.88,1.038,24.0,0.001,0.0555,389.428,1240,89.579,60.24
24507L0000,GI,ZST935,Retail,23.39,24.174,2152.6,2669.22,1.033,24.0,0.001,0.0552,387.169,1240,89.692,60.435
24507M0000,GI,ZST935,Retail,23.33,24.106,2130.0,2641.2,0.924,25.0,0.001,0.05,350.0,1240,85.2,57.854
24507V0000,GI,ZST935,Retail,22.09,22.734,2029.0,2515.96,0.965,22.0,0.001,0.0547,383.395,1240,92.227,62.002
24508F1000,GI,ZST935,Retail,9.065,9.377,1366.7,1316.13,0.38,12.0,0.001,0.0415,289.0,963,113.892,46.885
24508F2000,GI,ZST935,Retail,8.235,8.518,1242.1,1196.14,0.343,12.0,0.001,0.0411,286.345,963,103.508,42.59
24508K1000,GI,ZST935,Retail,10.243,10.533,1300.0,1251.9,0.359,15.0,0.001,0.0412,287.0,963,86.667,42.132
24508K2000,GI,ZST935,Retail,6.927,7.123,940.0,905.22,0.26,10.0,0.001,0.0412,287.0,963,94.0,42.738
24508M0000,GI,ZST935,Retail,21.86,22.51,2010.1,2492.52,0.945,22.0,0.001,0.0541,379.074,1240,91.368,61.391
24508Q0000,GI,ZST935,Retail,23.21,24.09,2135.8,2648.39,0.97,24.0,0.001,0.0523,366.144,1240,88.992,60.225
24508T0000,GI,ZST935,Retail,23.14,24.002,2100.0,2604.0,0.911,25.0,0.001,0.05,350.0,1240,84.0,57.605
24508U1000,GI,ZST935,Retail,9.636,9.957,1400.0,1348.2,0.387,7.0,0.001,0.0412,287.0,963,200.0,85.346
24508U2000,GI,ZST935,Retail,7.664,7.92,1164.09,1121.02,0.322,16.0,0.001,0.0412,287.0,963,72.756,29.7
24508W0000,GI,ZST935,Retail,23.08,23.902,2124.9,2634.88,0.968,24.0,0.001,0.0525,367.457,1240,88.538,59.755
24508X0000,GI,ZST935,Retail,23.26,24.117,2110.0,2616.4,0.916,9.0,0.001,0.05,350.0,1240,234.444,160.78
24508Z0000,GI,ZST935,Retail,22.09,22.788,2026.0,2512.24,0.919,22.0,0.001,0.0522,365.879,1240,92.091,62.149
24509B1000,GI,ZST935,Retail,9.775,10.06,1300.0,1251.9,0.359,15.0,0.001,0.0412,287.0,963,86.667,40.24
24509B2000,GI,ZST935,Retail,7.525,7.745,1000.0,963.0,0.276,10.0,0.001,0.0412,287.0,963,100.0,46.47
24509C1000,GI,ZEX110,export,11.8,11.876,1186.5,1483.12,0.156,12.0,0.001,0.0157,104.971,1250,98.875,59.38
24509C2000,GI,ZEX110,export,10.6,10.668,1064.7,1330.88,0.139,9.0,0.001,0.0157,104.805,1250,118.3,71.12
24509N1000,GI,ZPL110,Panel,10.732,10.893,722.5,917.58,0.27,9.0,0.001,0.0423,294.76,1270,80.278,72.62
24509N2000,GI,ZPL110,Panel,10.108,10.259,680.9,864.74,0.257,8.0,0.001,0.0426,297.3,1270,85.112,76.942
24509P1000,GI,ZAP221,Appliance,13.67,13.856,2362.912,2930.01,0.375,24.0,0.001,0.0189,128.0,1240,98.455,34.64
24509P2000,GI,ZAP221,Appliance,12.58,12.752,2174.643,2696.56,0.345,22.0,0.001,0.0189,128.0,1240,98.847,34.778
24509Q0000,GI,ZST935,Retail,23.28,24.06,2115.0,2622.6,0.918,29.0,0.001,0.05,350.0,1240,72.931,49.779
24509S0000,GI,ZST935,Retail,23.28,24.058,2142.9,2657.2,0.987,24.0,0.001,0.053,371.505,1240,89.288,60.145
24509T1000,GI,ZPL130,Panel,11.68,10.977,1311.89,1642.49,0.21,13.0,0.001,0.0189,128.0,1252,100.915,50.663
24509T2000,GI,ZPL130,Panel,10.89,10.235,1223.212,1531.46,0.196,9.0,0.001,0.0189,128.0,1252,135.912,68.233
24509U1000,GI,ZPL130,Panel,12.315,12.377,1064.1,1351.41,0.175,13.0,0.001,0.0191,129.305,1270,81.854,57.125
24509U2000,GI,ZPL130,Panel,10.515,10.568,908.4,1153.67,0.149,11.0,0.001,0.0191,128.988,1270,82.582,57.644
24509V0000,GI,ZST935,Retail,23.34,24.1,2100.0,2604.0,0.911,29.0,0.001,0.05,350.0,1240,72.414,49.862
24509W1000,GI,ZAP221,Appliance,13.564,13.868,2374.495,2932.5,0.375,24.0,0.001,0.0189,128.0,1235,98.937,34.67
24509W2000,GI,ZAP221,Appliance,12.576,12.858,2201.562,2718.93,0.348,23.0,0.001,0.0189,128.0,1235,95.72,33.543
24509Y0000,GI,ZST935,Retail,22.75,23.563,2095.2,2598.05,0.95,23.0,0.001,0.0522,365.503,1240,91.096,61.469
24509Z1000,GI,ZEX110,export,12.08,12.049,612.981,766.23,0.098,20.0,0.002,0.0199,128.0,1250,30.649,36.147
24509Z2000,GI,ZEX110,export,10.31,10.284,500.0,625.0,0.08,13.0,0.002,0.0199,128.0,1250,38.462,47.465
2450AA1000,GI,ZEX110,export,12.045,12.072,748.0,935.0,0.12,20.0,0.002,0.0199,128.0,1250,37.4,36.216
2450AA2000,GI,ZEX110,export,10.375,10.398,705.317,881.65,0.113,13.0,0.001,0.0189,128.0,1250,54.255,47.991
2450AB1000,GI,ZAP221,Appliance,13.91,13.879,2366.835,2934.88,0.376,25.0,0.001,0.0189,128.0,1240,94.673,33.31
2450AB2000,GI,ZAP221,Appliance,12.29,12.263,2091.252,2593.15,0.332,21.0,0.001,0.0189,128.0,1240,99.583,35.037
2450AF1000,GI,ZEX110,export,12.072,12.049,600.0,750.0,0.096,20.0,0.002,0.0199,128.0,1250,30.0,36.147
2450AF2000,GI,ZEX110,export,10.408,10.389,520.0,650.0,0.083,13.0,0.002,0.0199,128.0,1250,40.0,47.949
2450AG0000,GI,ZST935,Retail,23.28,24.152,2143.8,2658.31,1.026,24.0,0.001,0.0551,386.07,1240,89.325,60.38
2450AJ0000,GI,ZST935,Retail,23.29,24.138,2142.8,2657.07,0.974,24.0,0.001,0.0523,366.411,1240,89.283,60.345
2450AM1000,GI,ZAP221,Appliance,13.671,13.875,2366.153,2934.03,0.376,24.0,0.001,0.0189,128.0,1240,98.59,34.688
2450AM2000,GI,ZAP221,Appliance,12.689,12.879,2196.301,2723.41,0.349,22.0,0.001,0.0189,128.0,1240,99.832,35.125
2450AP0000,GI,ZST935,Retail,23.48,24.327,2130.0,2641.2,0.924,26.0,0.001,0.05,350.0,1240,81.923,56.139
2450AR0000,GI,ZST935,Retail,22.97,23.76,2112.0,2618.88,1.01,23.0,0.001,0.055,385.575,1240,91.826,61.983
2450AS0000,GI,ZST935,Retail,23.28,24.13,2115.0,2622.6,0.918,20.0,0.001,0.05,350.0,1240,105.75,72.39
2450AU1000,GI,ZPL925,Panel,13.534,13.664,1363.5,1726.19,0.21,12.0,0.001,0.0181,121.818,1266,113.625,68.32
2450AU2000,GI,ZPL925,Panel,10.706,10.808,1072.4,1357.66,0.17,10.0,0.001,0.0185,125.2,1266,107.24,64.848
2450AV0000,GI,ZST935,Retail,23.33,24.179,2147.1,2662.4,0.975,24.0,0.001,0.0523,366.19,1240,89.462,60.448
2450AZ0000,GI,ZST935,Retail,23.24,24.078,2110.0,2616.4,0.916,25.0,0.001,0.05,350.0,1240,84.4,57.787
2450BC1000,GI,ZPL130,Panel,12.221,12.298,1006.0,1277.62,0.164,15.0,0.001,0.0189,128.0,1270,67.067,49.192
2450BC2000,GI,ZPL130,Panel,10.059,10.122,812.0,1031.24,0.132,11.0,0.001,0.0189,128.0,1270,73.818,55.211
2450BH1000,GI,ZST935,Retail,6.913,7.086,900.0,866.7,0.249,10.0,0.001,0.0412,287.0,963,90.0,42.516
2450BH2000,GI,ZST935,Retail,6.667,6.834,904.022,870.57,0.25,10.0,0.001,0.0412,287.0,963,90.402,41.004
