Op Batch No,Actual Product,Order Tdc,Segment,Prop Ip Wt,O/P Wt,Total Length,Area,Zinc,Process Duration(in min),CRFH thickness(mm),GP thickness(mm),Total Zn/AlZn Coating,Op Width,Speed(mpm),Productivity(TPH)
2440FK0000,GI,ZTU110,P&T,21.42,21.344,1855.8,2319.75,0.1,22.0,0.001,0.007,43.0,1250,84.355,58.211
2440FM0000,GI,ZEX528,export,16.83,16.754,1144.3,1401.77,0.158,17.0,0.002,0.0178,112.903,1225,67.312,59.132
2440FN0000,GI,ZEX110,export,22.19,23.672,3964.8,4956.0,1.53,36.0,0.001,0.0442,308.67,1250,110.133,39.453
2440FX0000,GI,ZEX110,export,21.41,22.631,3827.5,4746.1,1.359,35.0,0.001,0.0411,286.306,1240,109.357,38.796
2440GF0000,GI,ZEX110,export,22.33,23.585,3920.0,4900.0,1.348,31.0,0.001,0.0395,275.0,1250,126.452,45.648
2440GP1000,GI,ZGN110,Retail,12.107,12.018,509.639,764.46,0.067,23.0,0.002,0.0143,88.0,1500,22.158,31.351
2440GP2000,GI,ZGN110,Retail,11.593,11.508,488.012,732.02,0.064,4.0,0.002,0.0143,88.0,1500,122.003,172.62
2440GQ0000,GI,ZEX528,export,18.03,17.922,1192.3,1502.3,0.177,18.0,0.002,0.0185,118.007,1260,66.239,59.74
2440GS0000,GI,ZTU110,P&T,22.65,22.419,1900.908,2376.14,0.19,33.0,0.001,0.0122,80.0,1250,57.603,40.762
2440GU0000,GI,ZEX110,export,22.25,23.533,3900.0,4875.0,1.341,32.0,0.001,0.0395,275.0,1250,121.875,44.124
2440GV0000,GI,ZTU110,P&T,21.78,21.7,1604.1,2005.12,0.195,15.0,0.001,0.0146,97.028,1250,106.94,86.8
2440HA1000,GI,ZGN110,Retail,10.35,10.256,1043.528,1304.41,0.115,23.0,0.001,0.0133,88.0,1250,45.371,26.755
2440HAZ000,GI,ZGN110,Retail,11.05,11.188,1123.0,1403.75,0.14,13.0,0.001,0.015,100.0,1250,86.385,51.637
2440HC0000,GI,ZTU110,P&T,22.16,22.046,1401.961,1752.45,0.14,20.0,0.002,0.0132,80.0,1250,70.098,66.138
2440HG0000,GI,ZEX528,export,17.02,16.873,1114.0,1403.64,0.14,17.0,0.002,0.016,100.0,1260,65.529,59.552
2440HQ0000,GI,ZTU110,P&T,22.4,22.383,1934.2,2417.75,0.252,22.0,0.001,0.0156,104.202,1250,87.918,61.045
2440HT1000,GI,ZAP221,Appliance,14.253,14.373,1370.0,1986.5,0.254,20.0,0.001,0.0189,128.0,1450,68.5,43.119
2440HT2000,GI,ZAP221,Appliance,11.577,11.674,1090.0,1580.5,0.202,16.0,0.001,0.0189,128.0,1450,68.125,43.777
2440HW0000,GI,ZTU110,P&T,22.099,22.485,1941.7,2427.12,0.293,23.0,0.001,0.0179,120.543,1250,84.422,58.657
2440HX0000,GI,ZEX110,export,21.98,22.42,3202.4,4003.0,0.58,31.0,0.001,0.0213,144.922,1250,103.303,43.394
2440HY0000,GI,ZEX110,export,22.37,22.823,3267.7,4084.62,0.608,34.0,0.001,0.0218,148.797,1250,96.109,40.276
2440JD0000,GI,ZTU110,P&T,22.28,22.364,2070.0,2525.4,0.257,20.0,0.001,0.0152,101.606,1220,103.5,67.092
2440JJ0000,GI,ZTU110,P&T,22.43,22.299,1650.3,2062.88,0.195,26.0,0.001,0.0143,94.678,1250,63.473,51.459
2440JK0000,GI,ZEX110,export,22.2,23.386,3972.4,4925.78,1.355,29.0,0.001,0.0395,274.989,1240,136.979,48.385
2440JN0000,GI,ZEX110,export,22.16,22.393,1510.4,1888.0,0.552,17.0,0.001,0.042,292.535,1250,88.847,79.034
2440JQ0000,GI,ZTU110,P&T,22.36,22.328,1932.1,2415.12,0.205,27.0,0.001,0.0129,85.017,1250,71.559,49.618
2440JR1000,GI,ZAP130,Appliance,16.734,17.49,2133.307,3178.63,0.912,16.0,0.001,0.0412,287.0,1490,133.332,65.587
2440JR2000,GI,ZAP130,Appliance,11.686,12.214,1489.777,2219.77,0.637,10.0,0.001,0.0412,287.0,1490,148.978,73.284
2440JS1000,GI,ZPL130,Panel,9.471,9.063,810.3,1239.76,0.151,6.0,0.001,0.018,121.616,1530,135.05,90.63
2440JS2000,GI,ZPL130,Panel,9.475,9.066,809.8,1238.99,0.157,6.0,0.001,0.0188,126.806,1530,134.967,90.66
2440JS3000,GI,ZPL130,Panel,9.604,9.19,817.2,1250.32,0.168,6.0,0.001,0.0199,134.651,1530,136.2,91.9
2440JU1000,GI,ZEX110,export,9.77,10.12,1000.0,1500.0,0.43,4.0,0.001,0.0412,287.0,1500,250.0,151.8
2440JU2000,GI,ZEX110,export,9.751,10.1,1000.0,1500.0,0.43,6.0,0.001,0.0412,287.0,1500,166.667,101.0
2440JU3000,GI,ZEX110,export,8.979,9.3,985.947,1478.92,0.424,12.0,0.001,0.0412,287.0,1500,82.162,46.5
2440JV1000,GI,ZEX110,export,9.7,10.1,1127.1,1690.65,0.469,8.0,0.001,0.0399,277.445,1500,140.888,75.75
2440JV2000,GI,ZEX110,export,9.687,10.087,1126.1,1689.15,0.472,9.0,0.001,0.0401,279.511,1500,125.122,67.247
2440JV3000,GI,ZEX110,export,8.933,9.301,1039.1,1558.65,0.435,8.0,0.001,0.0401,279.388,1500,129.887,69.758
2440JW1000,GI,ZEX110,export,9.751,10.1,1070.759,1606.14,0.461,4.0,0.001,0.0412,287.0,1500,267.69,151.5
2440JW2000,GI,ZEX110,export,9.751,10.1,1000.0,1500.0,0.43,6.0,0.001,0.0412,287.0,1500,166.667,101.0
2440JW3000,GI,ZEX110,export,8.978,9.3,985.947,1478.92,0.424,12.0,0.001,0.0412,287.0,1500,82.162,46.5
2440JY1000,GI,ZEX110,export,11.063,11.417,1003.5,1505.25,0.448,9.0,0.001,0.0427,297.65,1500,111.5,76.113
2440JY2000,GI,ZEX110,export,9.537,9.842,866.3,1299.45,0.383,6.0,0.001,0.0423,295.06,1500,144.383,98.42
2440JY3000,GI,ZEX110,export,7.939,8.193,722.3,1083.45,0.319,6.0,0.001,0.0422,294.468,1500,120.383,81.93
2440JZ1000,GI,ZEX110,export,9.816,10.202,1140.3,1710.45,0.471,8.0,0.001,0.0396,275.445,1500,142.538,76.515
2440JZ2000,GI,ZEX110,export,9.81,10.196,1140.2,1710.3,0.472,9.0,0.001,0.0396,275.749,1500,126.689,67.973
2440JZ3000,GI,ZEX110,export,8.793,9.139,1021.6,1532.4,0.422,8.0,0.001,0.0396,275.293,1500,127.7,68.542
2440KC1000,GI,ZEX110,export,9.852,10.158,895.2,1342.8,0.381,7.0,0.001,0.0407,283.799,1500,127.886,87.069
2440KC2000,GI,ZEX110,export,9.839,10.145,894.4,1341.6,0.387,8.0,0.001,0.0414,288.462,1500,111.8,76.087
2440KC3000,GI,ZEX110,export,8.82,9.094,802.2,1203.3,0.344,6.0,0.001,0.041,285.645,1500,133.7,90.94
